step,K,U,E
1170,1.3626632743921565,-2.6497172884659976,-1.2870540140738411
1180,1.3513105101083245,-2.638362703552028,-1.2870521934437036
1190,1.3339892967004667,-2.6210388647815366,-1.2870495680810699
1200,1.3127254898305207,-2.5997720789165273,-1.2870465890860066
1210,1.2897725719316153,-2.5768162328840054,-1.28704366095239
1220,1.2672871901152878,-2.5543282565525143,-1.2870410664372265
1230,1.247118827921091,-2.534157785572977,-1.287038957651886
1240,1.2307165331684409,-2.5177539209535498,-1.287037387785109
1250,1.2191194734775619,-2.506155827623371,-1.287036354145809
1260,1.2129894338941483,-2.5000252685930033,-1.287035834698855
1270,1.2126509601427207,-2.499686772175855,-1.2870358120331342
1280,1.2181173282884374,-2.5051536131911374,-1.2870362849027
1290,1.2290920970343908,-2.5161293657496837,-1.287037268715293
1300,1.244945825379221,-2.531984610458932,-1.287038785079711
1310,1.2646772379119149,-2.5517180770667727,-1.2870408391548578
1320,1.2868794181579015,-2.5739228025825316,-1.28704338442463
1330,1.3097440068325037,-2.5967902869520096,-1.287046280119506
1340,1.3311446862836753,-2.6181939439989534,-1.2870492577152781
1350,1.3488346412525631,-2.635886566021362,-1.2870519247687988
1360,1.3607596328155918,-2.647813465594629,-1.287053832779037
1370,1.365429901317702,-2.652484507460544,-1.287054606142842
1380,1.3622376393108286,-2.649291719172627,-1.2870540798617984
1390,1.3515975819935333,-2.6386499490314974,-1.287052367037964
1400,1.3348504882942662,-2.621900300429535,-1.287049812135269
1410,1.3139712448923202,-2.601018105705392,-1.2870468608130716
1420,1.2911974803571802,-2.578241404091608,-1.2870439237344278
1430,1.26869874935366,-2.5557400446164746,-1.2870412952628147
1440,1.248355430320538,-2.535394569195885,-1.2870391388753468
1450,1.2316554259228105,-2.5186929418318718,-1.2870375159090612
1460,1.2196780399202245,-2.5067144680113005,-1.287036428091076
1470,1.2131234461769775,-2.5001593010623013,-1.2870358548853238
1480,1.2123525688153807,-2.4993883474913945,-1.2870357786760138
1490,1.2174143654359404,-2.5044505629601774,-1.287036197524237
1500,1.2280491400190798,-2.5150862668534106,-1.2870371268343308
1510,1.2436663943453268,-2.5307049844679756,-1.2870385901226489
1520,1.2633053599876631,-2.550345957571338,-1.2870405975836747
1530,1.2855975913995705,-2.5726407030506238,-1.2870431116510532
1540,1.308763723522962,-2.5958097273379557,-1.2870460038149936
1550,1.330686051634205,-2.617735069554034,-1.2870490179198288
1560,1.3490944332410169,-2.636146201139367,-1.2870517678983502
1570,1.3618727216555593,-2.648926520552771,-1.2870537988972117
1580,1.367435189217327,-2.654489903053873,-1.2870547138365458
1590,1.3650620013999673,-2.652116318547543,-1.2870543171475757
1600,1.3550659629895239,-2.6421186577445113,-1.2870526947549874
1610,1.338719147998889,-2.625769326243531,-1.287050178244642
1620,1.3179714154734445,-2.6050186325263054,-1.2870472170528608
1630,1.2950746937332054,-2.5821189300966094,-1.287044236363404
1640,1.272238567181196,-2.5592801145278115,-1.2870415473466155
1650,1.2513940464771305,-2.538433373137457,-1.2870393266603264
1660,1.2340789236135739,-2.521116566814155,-1.287037643200581
1670,1.2214157209519265,-2.5084522222529446,-1.287036501301018
1680,1.2141398290348888,-2.5011757087462123,-1.2870358797113235
1690,1.2126410170098034,-2.4996767753538456,-1.2870357583440422
1700,1.21699383548569,-2.5040299677171847,-1.2870361322314947
1710,1.2269644798113095,-2.514001493970147,-1.2870370141588374
1720,1.2419918126084237,-2.5290302390395,-1.2870384264310761
1730,1.261149831388758,-2.5481902120449424,-1.2870403806561845
1740,1.2831098422386338,-2.57015268686491,-1.2870428446262763
1750,1.3061331413030945,-2.5931788411847734,-1.2870456998816788
1760,1.3281350142719035,-2.6151837181546793,-1.2870487038827758
1770,1.3468584144800813,-2.6339098979682465,-1.2870514834881652
1780,1.3601683243672273,-2.6472219135059536,-1.2870535891387263
1790,1.3664226011383176,-2.6534772165192235,-1.287054615380906
1800,1.3648139438365936,-2.6518682885402898,-1.2870543447036962
1810,1.3555552252812206,-2.6426080609376763,-1.2870528356564557
1820,1.3398295557890743,-2.6268799542634245,-1.2870503984743502
1830,1.3195268356739216,-2.6065743100952554,-1.2870474744213338
1840,1.2968743204072275,-2.58391881345526,-1.2870444930480327
